,Unnamed: 0,period_from,mpr,account_no,consumption_kWh,cost_per_meter,ccl_total,standing_charge,net_charge,vat_total,total_gas_sales
117,117,2021-01-01,1234,3006320218.0,5205.7,86.15,21.14,25.73,133.02,26.61,159.63
118,118,2022-12-01,5678,3006406986.0,173857.3,7822.88,987.51,950.46,9760.85,1952.17,11713.02
119,119,2023-01-01,7890,3006406997.0,4301342.1,133066.32,24431.62,1903.4,159401.34,31880.26,191281.6
120,120,2023-01-01,3456,3006320196.0,6057.7,187.4,34.41,59.21,281.02,56.2,337.22
121,121,2022-03-01,1234,3006320218.0,3612.7,96.18,0.0,37.2,133.38,6.67,140.05
122,122,2020-12-01,1234,3006320218.0,4811.6,70.1,19.54,25.73,115.37,23.08,138.45
123,123,2020-12-01,7890,3006406997.0,3183204.4,46185.11,12923.81,836.69,59945.61,11989.12,71934.73
124,124,2021-01-01,7890,3006406997.0,3164914.4,52189.44,12849.55,836.69,65875.68,13175.14,79050.82
125,125,2021-02-01,7890,3006406997.0,2867843.2,45704.82,11643.44,755.72,58103.98,11620.8,69724.78
126,126,2021-03-01,7890,3006406997.0,3171446.8,48418.48,12876.07,836.69,62131.24,12426.25,74556.49
127,127,2021-04-01,7890,3006406997.0,2393108.3,38347.17,11127.95,5636.7,55111.82,11022.36,66134.19
128,128,2021-05-01,7890,3006406997.0,1923301.5,33225.03,8943.35,5824.59,47992.97,9598.59,57591.57
129,129,2021-06-01,7890,3006406997.0,1205126.1,19758.04,5603.84,5636.7,30998.58,6199.72,37198.29
130,130,2023-02-01,9012,3006449314.0,22538.37,551.69,128.02,162.12,841.83,168.36,1010.19
131,131,2023-02-01,5678,3006406986.0,132566.56,3243.64,752.98,858.48,4855.1,971.03,5826.13
132,132,2023-02-01,1234,3006320218.0,3589.2,88.1,0.0,47.04,135.14,6.76,141.9
133,133,2023-02-01,3456,3006320196.0,4703.85,115.46,26.72,53.48,195.66,39.13,234.79
134,134,2023-02-01,7890,3006406997.0,5031175.55,123595.86,28577.08,16182.32,168355.26,33671.05,202026.31
135,135,2023-03-01,3456,3006320196.0,5231.83,136.19,29.72,59.21,225.12,45.02,280.95
136,136,2023-03-01,9012,3006449314.0,24737.34,642.31,140.51,179.49,962.31,192.46,1165.58
137,137,2023-03-01,5678,3006406986.0,135556.33,3518.36,769.96,950.46,5238.78,1047.75,6297.34
138,138,2023-03-01,1234,3006320218.0,3721.15,96.87,0.0,52.08,148.95,7.44,165.85
139,139,2023-03-01,7890,3006406997.0,4037903.5,105114.71,22935.29,1903.4,129953.4,25990.68,155944.08
140,140,2023-04-01,1234,3006320218.0,2492.66,114.69,0.0,44.7,159.39,7.97,176.52
141,141,2023-04-01,3456,3006320196.0,4053.38,186.5,0.0,53.7,240.2,12.02,261.38
142,142,2023-04-01,7890,3006406997.0,3571705.27,163284.08,24001.86,17622.0,204907.94,40981.59,245899.99
143,143,2023-04-01,9012,3006449314.0,19727.96,905.99,132.57,137.7,1176.26,235.25,1421.97
144,144,2023-04-01,5678,3006406986.0,102949.78,4727.35,691.82,623.7,6042.87,1208.57,7261.9
145,145,2023-05-01,5678,3006406986.0,67505.81,2426.97,453.64,644.49,3525.1,705.02,4240.93
146,146,2023-05-01,9012,3006449314.0,3844.62,138.24,0.0,142.29,280.53,14.02,304.01
147,147,2023-06-01,9012,3006449314.0,0.0,0.0,0.0,137.7,137.7,6.89,153.75
148,148,2023-05-01,7890,3006406997.0,1597554.4,57110.97,10735.57,18209.4,86055.94,17211.19,103267.13
149,149,2023-06-01,7890,3006406997.0,2228463.0,67063.36,14975.27,17622.0,99660.63,19932.12,119592.75
150,150,2023-05-01,3456,3006320196.0,825.46,29.75,0.0,55.49,85.24,4.26,98.96
151,151,2023-06-01,5678,3006406986.0,54216.64,1642.6,364.34,623.7,2630.64,526.13,3167.23
152,152,2023-06-01,3456,3006320196.0,1379.5,41.92,0.0,53.7,95.62,4.79,100.41
153,153,2023-07-01,7890,,2428605.42,73086.45,16320.29,18209.4,107616.14,21523.23,129139.37
154,154,2023-07-01,5678,,19233.41,582.72,129.25,623.7,1335.67,267.13,1602.8
155,155,2023-08-01,9012,3006449314.0,0.0,0.0,0.0,142.29,142.29,7.11,158.86
156,156,2023-08-01,5678,3006406986.0,37636.93,1197.34,252.92,644.49,2094.75,418.95,2524.51
157,157,2023-08-01,3456,3006320196.0,553.76,17.67,0.0,55.49,73.16,3.65,86.27
158,158,2023-08-01,7890,3006406997.0,2716667.78,85873.87,18256.01,18209.4,122339.28,24467.85,146817.94
159,159,2023-08-01,1234,3006320218.0,406.85,12.98,0.0,46.19,59.17,2.96,71.59
160,160,2023-09-01,1234,3006320218.0,467.3,14.87,0.0,44.7,59.57,2.98,71.71
161,161,2023-09-01,9012,3006449314.0,0.0,0.0,0.0,137.7,137.7,6.89,153.75
162,162,2023-09-01,3456,3006320196.0,638.27,20.31,0.0,53.7,74.01,3.71,86.88
163,163,2023-09-01,5678,3006406986.0,40340.39,1280.2,271.09,623.7,2174.99,435.0,2620.45
164,164,2023-09-01,7890,3006406997.0,2074619.13,65416.89,13941.44,17622.0,96980.33,19396.07,116386.86
165,165,2023-10-01,9012,3006449314.0,12435.58,304.67,83.57,142.29,530.53,106.1,647.44
166,166,2023-10-01,1234,3006320218.0,1331.98,32.75,0.0,46.19,78.94,3.95,92.35
167,167,2023-10-01,7890,3006406997.0,2970364.7,72156.1,19960.85,18209.4,110326.35,22065.27,132402.43
168,168,2023-10-01,5678,3006406986.0,93147.53,2281.65,625.95,644.49,3552.09,710.42,4273.32
169,169,2023-10-01,3456,3006320196.0,2093.12,51.46,0.0,55.49,106.95,5.34,121.75
170,170,2023-11-01,9012,3006449314.0,25576.57,907.33,171.87,137.7,1216.9,243.38,1470.74
171,171,2023-11-01,1234,3006320218.0,2490.35,88.56,0.0,44.7,133.26,6.67,149.09
172,172,2023-11-01,5678,3006406986.0,168785.07,5986.81,1134.24,623.7,7744.75,1548.95,9304.16
173,173,2023-11-01,3456,3006320196.0,3825.27,136.03,0.0,53.7,189.73,9.49,208.38
174,174,2023-11-01,7890,3006406997.0,3499123.1,123403.57,23514.11,17622.0,164539.68,32907.94,197447.62
175,175,2023-12-01,1234,3006320218.0,2681.52,93.36,0.0,46.19,139.55,6.98,155.99
176,176,2023-12-01,3456,3006320196.0,5407.73,188.28,36.34,55.49,280.11,56.03,346.95
177,177,2023-12-01,9012,3006449314.0,28837.47,1001.5,193.79,142.29,1337.58,267.52,1615.91
178,178,2023-12-01,7890,3006406997.0,2543235.59,87795.04,1367.24,18209.4,107371.68,21474.34,128846.02
179,179,2023-12-01,5678,3006406986.0,169801.21,5896.18,1141.06,644.49,7681.73,1536.35,9228.89
180,180,2024-01-01,1234,3006320218.0,3283.24,106.83,0.0,46.19,153.01999999999998,7.65,170.1
181,181,2024-01-01,3456,3006320196.0,5673.08,184.59,38.12,55.49,278.2,55.64,344.62
182,182,2024-01-01,9012,3006449314.0,31157.29,1011.05,209.38,142.29,1362.7199999999998,272.55,1646.05
183,183,2024-01-01,7890,3006406997.0,3653970.24,117811.31,1964.37,18209.4,137985.08,27597.01,165592.87
184,184,2024-01-01,5678,3006406986.0,185656.8,6023.63,1247.61,644.49,7915.73,1583.15,9509.66
